Year,Round,Score,Overall Score,Overall Rank,Round rank,Trades made,Trades remaining
2025,27,1102,24220,8264,10964,1,0
2026,1,902,902,30571,30571,0,44
2026,2,1013,1915,24567,26140,1,43
2026,3,919,2834,9206,5490,2,41
2026,4,933,3767,3944,4923,2,39
2026,5,871,4638,6022,37393,1,38
2026,6,891,5529,6380,31376,2,36
2026,7,907,6436,12434,62604,3,33
2026,8,1068,7504,12049,18875,3,30
2026,9,938,8442,13984,43168,1,29
2026,10,1108,9550,7841,1401,3,26
2026,11,965,10515,6429,10630,1,25
2026,12,715,11230,6931,28337,2,23
2026,13,710,11940,9043,58415,0,23
2026,14,957,12897,11966,55245,3,20
2026,15,731,13628,9317,9340,3,17
2026,16,691,14319,11902,65625,0,17
2026,17,808,15127,16988,102947,2,15
2026,18,619,15746,15482,19424,4,11
2026,19,782,16528,12467,3496,3,8
2026,20,967,17495,12195,20444,3,5
2026,21,1113,18608,10893,11133,3,2
2026,22,1153,19761,9239,4458,0,2
2026,23,782,20543,12439,102448,1,1
2026,24,752,21295,15714,92476,1,0
2026,25,985,22280,14513,8848,0,0
2026,26,841,23121,16294,66289,0,0
2026,27,760,23881,17224,54713,0,0
